Nome do Campeonato:	Campeonato Interno Clube Jundiaiense									
Ano:	2018									
JOGOS										
jogo_nro	data	hora	local	time_mandante	gol_mandante	gol_visitante	time_visitante	rodada	fase	grupo
145	18/08/2018	16:45	Campo C	Fenerbate			Brasil	13	Primeira Fase	Série Bronze
146	18/08/2018	13:45	Campo E	Colo-Colo			Celeste	11	Primeira Fase	Sério Prata
147	18/08/2018	15:15	Campo D	Aurora Cochabamba			Corinthians	11	Primeira Fase	Sério Prata
148	18/08/2018	15:15	Campo E	Everest			Mitos	11	Primeira Fase	Sério Prata
149	18/08/2018	13:45	Campo B	All Blacks			Parathinaikos	11	Primeira Fase	Sério Ouro
150	18/08/2018	13:45	Campo D	Tio Dirdo I			Sinistro	11	Primeira Fase	Sério Ouro
151	18/08/2018	15:15	Campo B	River Plate			Tio Dirdo II	11	Primeira Fase	Sério Ouro
152	25/08/2018	11:00	Campo B	Bayern			Tio Dirdo	12	Primeira Fase	Série Diamante
153	25/08/2018	11:00	Campo C	Alianza			Galaxie 70	12	Primeira Fase	Série Diamante
154	25/08/2018	11:00	Campo D	Real			Náutico	12	Primeira Fase	Série Diamante
155	25/08/2018	13:45	Campo D	Fenerbate			Rock na Teia	14	Primeira Fase	Série Bronze
156	25/08/2018	15:15	Campo C	Clássicos			Sabadão	14	Primeira Fase	Série Bronze
157	25/08/2018	16:45	Campo B	Lokomotiv			Brasil	14	Primeira Fase	Série Bronze
158	25/08/2018	16:45	Campo C	Íbis Barcelona			Galoucos e Danone	14	Primeira Fase	Série Bronze
159	25/08/2018	13:45	Campo C	Everest			Aurora Cochabamba	12	Primeira Fase	Sério Prata
160	25/08/2018	13:45	Campo E	Mitos			Corinthians	12	Primeira Fase	Sério Prata
161	25/08/2018	15:15	Campo D	Tsunami			Celeste	12	Primeira Fase	Sério Prata
162	25/08/2018	13:45	Campo B	River Plate			Tio Dirdo I	12	Primeira Fase	Sério Ouro
163	25/08/2018	15:15	Campo B	Sinistro			Tio Dirdo II	12	Primeira Fase	Sério Ouro
164	25/08/2018	15:15	Campo E	Dudinka			Parathinaikos	12	Primeira Fase	Sério Ouro
165	01/09/2018	11:00	Campo B	Alianza			Náutico	13	Primeira Fase	Série Diamante
166	01/09/2018	11:00	Campo C	Real			Tio Dirdo	13	Primeira Fase	Série Diamante
167	01/09/2018	11:00	Campo D	Bayern			Barcelona	13	Primeira Fase	Série Diamante
168	01/09/2018	13:45	Campo B	Galoucos e Danone			Fenerbate	15	Primeira Fase	Série Bronze
169	01/09/2018	13:45	Campo E	Santa Cruz			Íbis Barcelona	15	Primeira Fase	Série Bronze
170	01/09/2018	15:15	Campo C	Clássicos			Brasil	15	Primeira Fase	Série Bronze
171	01/09/2018	16:45	Campo C	Rock na Teia			Sabadão	15	Primeira Fase	Série Bronze
172	01/09/2018	13:45	Campo C	Everest			Corinthians	13	Primeira Fase	Sério Prata
173	01/09/2018	15:15	Campo D	Colo-Colo			Tsunami	13	Primeira Fase	Sério Prata
174	01/09/2018	16:45	Campo B	Aurora Cochabamba			Celeste	13	Primeira Fase	Sério Prata
175	01/09/2018	13:45	Campo D	River Plate			All Blacks	13	Primeira Fase	Sério Ouro
176	01/09/2018	15:15	Campo B	Parathinaikos			Tio Dirdo II	13	Primeira Fase	Sério Ouro
177	01/09/2018	15:15	Campo E	Tio Dirdo I			Dudinka	13	Primeira Fase	Sério Ouro
178	15/09/2018	14:00	Campo B	Rock na Teia			Santa Cruz	16	Primeira Fase	Série Bronze
179	15/09/2018	14:00	Campo D	Lokomotiv			Fenerbate	16	Primeira Fase	Série Bronze
180	15/09/2018	15:30	Campo B	Íbis Barcelona			Clássicos	16	Primeira Fase	Série Bronze
181	15/09/2018	15:30	Campo D	Sabadão			Galoucos e Danone	16	Primeira Fase	Série Bronze
182	22/09/2018	11:00	Campo B	Tio Dirdo			Barcelona	14	Primeira Fase	Série Diamante
183	22/09/2018	11:00	Campo C	Náutico			Galaxie 70	14	Primeira Fase	Série Diamante
184	22/09/2018	11:00	Campo D	Alianza			Real	14	Primeira Fase	Série Diamante
185	22/09/2018	13:45	Campo D	Aurora Cochabamba			Mitos	14	Primeira Fase	Sério Prata
186	22/09/2018	16:45	Campo B	Everest			Tsunami	14	Primeira Fase	Sério Prata
187	22/09/2018	16:45	Campo C	Colo-Colo			Corinthians	14	Primeira Fase	Sério Prata
188	22/09/2018	13:45	Campo B	Dudinka			Sinistro	14	Primeira Fase	Sério Ouro
189	22/09/2018	13:45	Campo E	River Plate			Parathinaikos	14	Primeira Fase	Sério Ouro
190	22/09/2018	15:15	Campo E	Tio Dirdo II			All Blacks	14	Primeira Fase	Sério Ouro
191	22/09/2018	13:45	Campo C	Brasil			Santa Cruz	17	Primeira Fase	Série Bronze
192	22/09/2018	15:15	Campo B	Rock na Teia			Clássicos	17	Primeira Fase	Série Bronze
193	22/09/2018	15:15	Campo C	Lokomotiv			Íbis Barcelona	17	Primeira Fase	Série Bronze
194	22/09/2018	15:15	Campo D	Fenerbate			Sabadão	17	Primeira Fase	Série Bronze
195	29/09/2018	11:00	Campo B	3º colocado			6º colocado	1	Quartas	Série Diamante
196	29/09/2018	11:00	Campo D	4º colocado			5º colocado	1	Quartas	Série Diamante
197	29/09/2018	14:00	Campo C	Galoucos e Danone			Brasil	18	Primeira Fase	Série Bronze
198	29/09/2018	14:00	Campo E	Rock na Teia			Íbis Barcelona	18	Primeira Fase	Série Bronze
199	29/09/2018	15:30	Campo C	Sabadão			Santa Cruz	18	Primeira Fase	Série Bronze
200	29/09/2018	15:30	Campo E	Lokomotiv			Clássicos	18	Primeira Fase	Série Bronze
201	29/09/2018	14:00	Campo D	4º colocado			5º colocado	1	Quartas	Sério Prata
202	29/09/2018	15:30	Campo D	3º colocado			6º colocado	1	Quartas	Sério Prata
203	29/09/2018	14:00	Campo B	4º colocado			5º colocado	1	Quartas	Sério Ouro
204	29/09/2018	15:30	Campo B	3º colocado			6º colocado	1	Quartas	Sério Ouro
205	06/10/2018	11:00	Campo B	1º colocado			vencedor 4º e 5º	1	Semi	Série Diamante
206	06/10/2018	11:00	Campo D	2º colocado			vencedor 3º e 6º	1	Semi	Série Diamante
207	06/10/2018	14:00	Campo D	2º colocado			vencedor 3º e 6º	1	Semi	Sério Prata
208	06/10/2018	15:30	Campo D	1º colocado			vencedor 4º e 5º	1	Semi	Sério Prata
209	06/10/2018	14:00	Campo B	2º colocado			vencedor 3º e 6º	1	Semi	Sério Ouro
210	06/10/2018	15:30	Campo B	1º colocado			vencedor 4º e 5º	1	Semi	Sério Ouro
211	06/10/2018	14:00	Campo E	2º colocado			vencedor 3º e 6º	1	Semi	Série Bronze
212	06/10/2018	15:30	Campo E	1º colocado			vencedor 4º e 5º	1	Semi	Série Bronze
213	20/10/2018	14:00	Campo B	vencedor semi1			vencedor semi2	1	Final	Série Bronze
214	20/10/2018	15:30	Campo B	vencedor semi1			vencedor semi2	1	Final	Série Diamante
215	27/10/2018	14:00	Campo B	vencedor semi1			vencedor semi2	1	Final	Sério Prata
216	27/10/2018	15:30	Campo B	vencedor semi1			vencedor semi2	1	Final	Sério Ouro
